1426,2017-11-17T12:24:26.000Z,154,Hassl?? via F??rmanstorp,2017-11-17T11:24:31.601Z,15.5094585,83,2017-11-17T12:24:14.000Z,Gr??nadal,2017-11-17T12:24:26,0,101249,56.18658,6,2017-11-17T12:24:14
3191,2017-11-17T12:24:25.000Z,600,Karlskrona via Karlshamn/Ronneby,2017-11-17T11:24:31.601Z,14.6327152,114,2017-11-17T12:28:07.000Z,Pukaviks rondell,2017-11-17T12:24:25,134,101259,56.1800537,25,2017-11-17T12:28:07
1313,2017-11-17T12:24:26.000Z,4,Centrum,2017-11-17T11:24:31.601Z,15.6275206,22,2017-11-17T12:25:15.000Z,M??rt??v??gen,2017-11-17T12:24:26,174,100458,56.2541771,53,2017-11-17T12:25:15
1041,2017-11-17T12:24:26.000Z,2,J??mj??  Sturk??/Torhamn,2017-11-17T11:24:31.601Z,15.6323233,-43,2017-11-17T12:25:53.000Z,Amiralen,2017-11-17T12:24:26,83,100455,56.1962433,40,2017-11-17T12:25:53
1135,2017-11-17T12:24:26.000Z,4,R??deby  Alnaryd,2017-11-17T11:24:31.602Z,15.59359,112,2017-11-17T12:24:35.000Z,Galgamarkstrappan,2017-11-17T12:24:26,40,100415,56.17705,40,2017-11-17T12:24:35
1402,2017-11-17T12:24:28.000Z,150,Karlskrona,2017-11-17T11:24:31.602Z,15.568675,105,2017-11-17T12:26:00.000Z,Silleboda,2017-11-17T12:24:28,68,100451,56.210907,13,2017-11-17T12:26:00
1037,2017-11-17T12:24:27.000Z,2,Centrum,2017-11-17T11:24:31.602Z,15.6376753,219,2017-11-17T12:28:33.000Z,Annebo,2017-11-17T12:24:27,270,101231,56.19558,51,2017-11-17T12:28:33
1109,2017-11-17T12:24:28.000Z,3,Centrum,2017-11-17T11:24:31.602Z,15.641202,69,2017-11-17T12:25:41.000Z,Lallerstedts gata,2017-11-17T12:24:28,279,101226,56.1949539,51,2017-11-17T12:25:41
2007,2017-11-17T12:24:29.000Z,840,,2017-11-17T11:24:31.602Z,15.2869062,208,,Kallinge torg,2017-11-17T12:24:29,334,101254,56.246048,8,9999-12-31T23:59:59.9999999
2007,2017-11-17T12:24:29.000Z,840,V??xj??,2017-11-17T11:24:31.602Z,15.2869139,209,2017-11-17T12:24:39.000Z,Kallinge torg,2017-11-17T12:24:29,0,101254,56.2460442,8,2017-11-17T12:24:39
1934,2017-11-17T12:24:29.000Z,3,Bastasj??,2017-11-17T11:24:31.602Z,15.6454639,12,2017-11-17T12:25:03.000Z,Lyckeby Slottsbacken,2017-11-17T12:24:29,131,101217,56.1970062,40,2017-11-17T12:25:03
1029,2017-11-17T12:24:29.000Z,1,Salt??,2017-11-17T11:24:31.602Z,15.633954,359,2017-11-17T12:25:26.000Z,Backabo,2017-11-17T12:24:29,278,101212,56.2040749,111,2017-11-17T12:25:26
3001,2017-11-17T12:24:31.000Z,330,M??rrum,2017-11-17T11:24:31.602Z,14.867939,-29,2017-11-17T12:25:00.000Z,Resecentrum,2017-11-17T12:24:31,0,101236,56.1759529,28,2017-11-17T12:25:00
3065,2017-11-17T12:24:30.000Z,330,M??rrum,2017-11-17T11:24:31.603Z,14.7474766,303,2017-11-17T12:24:41.000Z,M??rrum Bygatan,2017-11-17T12:24:30,320,101251,56.1955643,26,2017-11-17T12:24:41
1041,2017-11-17T12:24:31.000Z,1,Lyckeby,2017-11-17T11:24:36.658Z,15.6452227,66,2017-11-17T12:24:58.000Z,Amiralen,2017-11-17T12:24:31,162,101204,56.1973839,98,2017-11-17T12:24:58
1037,2017-11-17T12:24:31.000Z,5,Centrum,2017-11-17T11:24:36.658Z,15.6074581,266,2017-11-17T12:24:59.000Z,Annebo,2017-11-17T12:24:31,250,100418,56.1866074,51,2017-11-17T12:24:59
1927,2017-11-17T12:24:31.000Z,1,Tross??,2017-11-17T11:24:36.658Z,15.5926256,-32,2017-11-17T12:24:37.000Z,Campus Gr??svik,2017-11-17T12:24:31,240,101211,56.18057,109,2017-11-17T12:24:37
8093,2017-11-17T12:24:32.000Z,500,Karlskrona,2017-11-17T11:24:36.659Z,16.1409969,135,2017-11-17T12:42:49.000Z,Bergkvara busstation,2017-11-17T12:24:32,217,101256,56.6117439,7,2017-11-17T12:42:49
1304,2017-11-17T12:24:31.000Z,172,Holmsj?? Fur,2017-11-17T11:24:36.659Z,15.6181164,-29,2017-11-17T12:25:00.000Z,R??deby centrum,2017-11-17T12:24:31,0,100466,56.2606926,8,2017-11-17T12:25:00
2301,2017-11-17T12:24:31.000Z,600,Olofstr??m via Ronneby/Karlshamn,2017-11-17T11:24:36.659Z,15.5141621,31,2017-11-17T12:30:46.000Z,Listerby E22,2017-11-17T12:24:31,260,101260,56.20265,20,2017-11-17T12:30:46
3180,2017-11-17T12:24:33.000Z,310,Sv??ngsta via Korpadalen,2017-11-17T11:24:36.659Z,14.8676567,148,2017-11-17T12:24:47.000Z,Tingshuset,2017-11-17T12:24:33,338,100409,56.17219,34,2017-11-17T12:24:47
3194,2017-11-17T12:24:33.000Z,311,Sjukhuset huvudentr?? via Pr??stsl??tten,2017-11-17T11:24:36.659Z,14.8701925,392,2017-11-17T12:25:15.000Z,Centrum ??st,2017-11-17T12:24:33,338,101233,56.1685562,27,2017-11-17T12:25:15
1135,2017-11-17T12:24:33.000Z,4,,2017-11-17T11:24:36.659Z,15.59436,139,,Galgamarkstrappan,2017-11-17T12:24:33,227,100448,56.1774826,51,9999-12-31T23:59:59.9999999
1135,2017-11-17T12:24:34.000Z,4,Centrum,2017-11-17T11:24:36.659Z,15.59436,142,2017-11-17T12:24:29.000Z,Galgamarkstrappan,2017-11-17T12:24:34,0,100448,56.1774864,51,2017-11-17T12:24:29
4134,2017-11-17T12:24:33.000Z,432,,2017-11-17T11:24:36.659Z,14.7309542,527,,R??keriv??gen,2017-11-17T12:24:33,0,100459,56.0088234,28,9999-12-31T23:59:59.9999999
1427,2017-11-17T12:24:33.000Z,154,Hassl?? via F??rmanstorp,2017-11-17T11:24:36.659Z,15.5091486,86,2017-11-17T12:24:48.000Z,Skillingen??s,2017-11-17T12:24:33,227,101249,56.18639,6,2017-11-17T12:24:48
1076,2017-11-17T12:24:34.000Z,6,Centrum,2017-11-17T11:24:36.659Z,15.6627426,36,2017-11-17T12:24:59.000Z,Ekedalsv??gen,2017-11-17T12:24:34,311,101222,56.1924,41,2017-11-17T12:24:59
2090,2017-11-17T12:24:34.000Z,23,Hjorth??jden via Maxi,2017-11-17T11:24:36.659Z,15.2683086,232,2017-11-17T12:24:54.000Z,Tuvegatan,2017-11-17T12:24:34,321,101214,56.2078819,31,2017-11-17T12:24:54
4134,2017-11-17T12:24:35.000Z,432,Nogersund via Mj??llby,2017-11-17T11:24:36.659Z,14.7309551,530,2017-11-17T12:24:01.000Z,R??keriv??gen,2017-11-17T12:24:35,0,100459,56.0088234,28,2017-11-17T12:24:01
3191,2017-11-17T12:24:36.000Z,600,Olofstr??m via Ronneby/Karlshamn,2017-11-17T11:24:36.659Z,14.8348646,311,2017-11-17T12:34:11.000Z,Pukaviks rondell,2017-11-17T12:24:36,270,101262,56.1867332,18,2017-11-17T12:34:11
1036,2017-11-17T12:24:35.000Z,9,Sjukhusomr??det,2017-11-17T11:24:41.713Z,15.6012173,275,2017-11-17T12:24:35.000Z,Berg??sa station,2017-11-17T12:24:35,0,101215,56.18246,145,2017-11-17T12:24:35
2315,2017-11-17T12:24:36.000Z,22,Kallinge via S??rbydal,2017-11-17T11:24:41.713Z,0,200,2017-11-17T12:25:46.000Z,S??rbydal,2017-11-17T12:24:36,0,101208,0,29,2017-11-17T12:25:46
3191,2017-11-17T12:24:36.000Z,600,Karlskrona via Karlshamn/Ronneby,2017-11-17T11:24:41.713Z,14.6357994,103,2017-11-17T12:28:07.000Z,Pukaviks rondell,2017-11-17T12:24:36,133,101259,56.17843,25,2017-11-17T12:28:07
